Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Cancellation Impact
Konanakunte,"2,88,519","2,86,472","2,17,972","1,58,009",154765.0,"1,01,021",99.3%,76.1%,72.5%,97.9%,53684.0,34.7%,35.0%,"₹1,28,39,437",6.87,₹122.45,"7,20,459",34.68742932833651
Sunkenahalli,"2,66,613","2,64,632","2,07,272","1,51,687",148854.0,"1,00,920",99.3%,78.3%,73.2%,98.1%,47886.0,32.2%,37.9%,"₹1,21,27,955",6.41,₹114.38,"6,86,467",32.16977709702124
Kadu Malleshwara,"2,34,374","2,32,026","1,77,602","1,42,192",139524.0,"1,00,728",99.0%,76.5%,80.1%,98.1%,38757.0,27.8%,43.0%,"₹1,29,11,553",7.26,₹127.05,"7,43,775",27.778016685301456
Subhash Nagar,"3,12,008","3,08,910","2,15,494","1,63,133",160185.0,"96,108",99.0%,69.8%,75.7%,98.2%,64030.0,40.0%,30.8%,"₹1,52,44,495",8.63,₹153.30,"8,65,902",39.97253176015232
Radhakrishna Temple Ward,"2,35,760","2,34,113","1,81,242","1,42,398",138698.0,"94,980",99.3%,77.4%,78.6%,97.4%,43684.0,31.5%,40.3%,"₹1,30,95,032",7.4,₹130.61,"7,49,821",31.495767783241284
Amrutahalli,"2,90,243","2,88,253","2,21,378","1,44,297",141512.0,"90,988",99.3%,76.8%,65.2%,98.1%,50503.0,35.7%,31.4%,"₹1,44,84,899",8.49,₹149.11,"8,40,939",35.68813952173667
Nagapura,"2,24,785","2,22,670","1,57,606","1,34,768",132094.0,"90,419",99.1%,70.8%,85.5%,98.0%,41635.0,31.5%,40.2%,"₹1,13,69,271",6.8,₹120.42,"6,47,417",31.5192211606886
Lingarajapura,"2,47,617","2,46,121","2,06,967","1,34,855",133228.0,"89,020",99.4%,84.1%,65.2%,98.8%,44176.0,33.2%,35.9%,"₹1,10,30,167",6.22,₹115.48,"6,11,475",33.158194974029485
Devasandra,"3,28,961","3,26,957","2,69,416","1,53,505",151453.0,"88,876",99.4%,82.4%,57.0%,98.7%,62507.0,41.3%,27.0%,"₹1,44,25,616",7.7,₹139.96,"7,93,244",41.27154958964167
Arakere,"2,97,635","2,95,178","2,36,337","1,34,482",131785.0,"88,063",99.2%,80.1%,56.9%,98.0%,43700.0,33.2%,29.6%,"₹1,27,50,606",7.82,₹139.77,"7,26,830",33.160071328299885
